Fecha corte|Nombre_Entidad|Nombre_Fondo|Valor Unidad
2021/01/30|test fund|test serie|200924080.67
2021/01/31|test fund|test serie|200924080.67
2021/02/01|test fund|test serie|200924080.67
2021/02/02|test fund|test serie|203995791.759
2021/02/03|test fund|test serie|212629878.18
2021/02/04|test fund|test serie|205635663.05
2021/02/05|test fund|test serie|205636663.05
2021/02/06|test fund|test serie|205637663.05
2021/02/07|test fund|test serie|205638663.05
2021/02/08|test fund|test serie|205639663.05
2021/02/09|test fund|test serie|205640663.05
2021/02/10|test fund|test serie|205641663.05
2021/02/11|test fund|test serie|205642663.05
2021/02/12|test fund|test serie|205643663.05
2021/02/13|test fund|test serie|205644663.05
2021/02/14|test fund|test serie|205645663.05
2021/02/15|test fund|test serie|205646663.05
2021/02/16|test fund|test serie|205647663.05
2021/02/17|test fund|test serie|205648663.05
2021/02/18|test fund|test serie|205649663.05
2021/02/19|test fund|test serie|205650663.05
2021/02/20|test fund|test serie|205651663.05
2021/02/21|test fund|test serie|205652663.05
2021/02/22|test fund|test serie|205653663.05
2021/02/23|test fund|test serie|205654663.05
2021/02/24|test fund|test serie|205655663.05
2021/02/25|test fund|test serie|205656663.05
2021/02/26|test fund|test serie|205657663.05
2021/02/27|test fund|test serie|205658663.05
2021/02/28|test fund|test serie|205659663.05
2021/03/01|test fund|test serie|205660663.05
2021/03/02|test fund|test serie|205661663.05
2021/03/03|test fund|test serie|205662663.05
2021/03/04|test fund|test serie|205663663.05
2021/03/05|test fund|test serie|205664663.05
2021/03/06|test fund|test serie|205665663.05
2021/03/07|test fund|test serie|205666663.05
2021/03/08|test fund|test serie|205667663.05
2021/03/09|test fund|test serie|205668663.05
2021/03/10|test fund|test serie|205669663.05
2021/03/11|test fund|test serie|205670663.05
2021/03/12|test fund|test serie|205671663.05
2021/03/13|test fund|test serie|205672663.05
2021/03/14|test fund|test serie|205673663.05
2021/03/15|test fund|test serie|205674663.05
2021/03/16|test fund|test serie|205675663.05
2021/03/17|test fund|test serie|205676663.05
2021/03/18|test fund|test serie|205677663.05
2021/03/19|test fund|test serie|205678663.05
2021/03/20|test fund|test serie|205679663.05
2021/03/21|test fund|test serie|205680663.05
2021/03/22|test fund|test serie|205681663.05
2021/03/23|test fund|test serie|205682663.05
2021/03/24|test fund|test serie|205683663.05
2021/03/25|test fund|test serie|205684663.05
2021/03/26|test fund|test serie|205685663.05
2021/03/27|test fund|test serie|205686663.05
2021/03/28|test fund|test serie|205687663.05
2021/03/29|test fund|test serie|205688663.05
2021/03/30|test fund|test serie|205689663.05
2021/03/31|test fund|test serie|205690663.05
2021/04/01|test fund|test serie|205691663.05
2021/04/02|test fund|test serie|205692663.05
2021/04/03|test fund|test serie|205693663.05
2021/04/04|test fund|test serie|205694663.05
2021/04/05|test fund|test serie|205695663.05
2021/04/06|test fund|test serie|205696663.05
2021/04/07|test fund|test serie|205697663.05
2021/04/08|test fund|test serie|205698663.05
2021/04/09|test fund|test serie|205699663.05
2021/04/10|test fund|test serie|205700663.05
2021/04/11|test fund|test serie|205701663.05
2021/04/12|test fund|test serie|205702663.05
2021/04/13|test fund|test serie|205703663.05
2021/04/14|test fund|test serie|205704663.05
2021/04/15|test fund|test serie|205705663.05
2021/04/16|test fund|test serie|205706663.05
2021/04/17|test fund|test serie|205707663.05
2021/04/18|test fund|test serie|205708663.05
2021/04/19|test fund|test serie|205709663.05
2021/04/20|test fund|test serie|205710663.05
2021/04/21|test fund|test serie|205711663.05
2021/04/22|test fund|test serie|205712663.05
2021/04/23|test fund|test serie|205713663.05
2021/04/24|test fund|test serie|205714663.05
2021/04/25|test fund|test serie|205715663.05
2021/04/26|test fund|test serie|205716663.05
2021/04/27|test fund|test serie|205717663.05
2021/04/28|test fund|test serie|205718663.05
2021/04/29|test fund|test serie|205719663.05
2021/04/30|test fund|test serie|205720663.05
2021/05/01|test fund|test serie|205721663.05
2021/05/02|test fund|test serie|205722663.05
2021/05/03|test fund|test serie|205723663.05
2021/05/04|test fund|test serie|205724663.05
2021/05/05|test fund|test serie|205725663.05
2021/05/06|test fund|test serie|205726663.05
2021/05/07|test fund|test serie|205727663.05
2021/05/08|test fund|test serie|205728663.05
2021/05/09|test fund|test serie|205729663.05
2021/05/10|test fund|test serie|205730663.05
2021/05/11|test fund|test serie|205731663.05
2021/05/12|test fund|test serie|205732663.05
2021/05/13|test fund|test serie|205733663.05
2021/05/14|test fund|test serie|205734663.05
2021/05/15|test fund|test serie|205735663.05
2021/05/16|test fund|test serie|205736663.05
2021/05/17|test fund|test serie|205737663.05
2021/05/18|test fund|test serie|205738663.05
2021/05/19|test fund|test serie|205739663.05
2021/05/20|test fund|test serie|205740663.05
2021/05/21|test fund|test serie|205741663.05
2021/05/22|test fund|test serie|205742663.05
2021/05/23|test fund|test serie|205743663.05
2021/05/24|test fund|test serie|205744663.05
2021/05/25|test fund|test serie|205745663.05
2021/05/26|test fund|test serie|205746663.05
2021/05/27|test fund|test serie|205747663.05
2021/05/28|test fund|test serie|205748663.05
2021/05/29|test fund|test serie|205749663.05
2021/05/30|test fund|test serie|205750663.05
2021/05/31|test fund|test serie|205751663.05
2021/06/01|test fund|test serie|205752663.05
2021/06/02|test fund|test serie|205753663.05
2021/06/03|test fund|test serie|205754663.05
2021/06/04|test fund|test serie|205755663.05
2021/06/05|test fund|test serie|205756663.05
2021/06/06|test fund|test serie|205757663.05
2021/06/07|test fund|test serie|205758663.05
2021/06/08|test fund|test serie|205759663.05
2021/06/09|test fund|test serie|205760663.05
2021/06/10|test fund|test serie|205761663.05
2021/06/11|test fund|test serie|205762663.05
2021/06/12|test fund|test serie|205763663.05
2021/06/13|test fund|test serie|205764663.05
2021/06/14|test fund|test serie|205765663.05
2021/06/15|test fund|test serie|205766663.05
2021/06/16|test fund|test serie|205767663.05
2021/06/17|test fund|test serie|205768663.05
2021/06/18|test fund|test serie|205769663.05
2021/06/19|test fund|test serie|205770663.05
2021/06/20|test fund|test serie|205771663.05
2021/06/21|test fund|test serie|205772663.05
2021/06/22|test fund|test serie|205773663.05
2021/06/23|test fund|test serie|205774663.05
2021/06/24|test fund|test serie|205775663.05
2021/06/25|test fund|test serie|205776663.05
2021/06/26|test fund|test serie|205777663.05
2021/06/27|test fund|test serie|205778663.05
2021/06/28|test fund|test serie|205779663.05
2021/06/29|test fund|test serie|205780663.05
2021/06/30|test fund|test serie|205781663.05
2021/07/01|test fund|test serie|205782663.05
2021/07/02|test fund|test serie|205783663.05
2021/07/03|test fund|test serie|205784663.05
2021/07/04|test fund|test serie|205785663.05
2021/07/05|test fund|test serie|205786663.05
2021/07/06|test fund|test serie|205787663.05
2021/07/07|test fund|test serie|205788663.05
2021/07/08|test fund|test serie|205789663.05
2021/07/09|test fund|test serie|205790663.05
2021/07/10|test fund|test serie|205791663.05
2021/07/11|test fund|test serie|205792663.05
2021/07/12|test fund|test serie|205793663.05
2021/07/13|test fund|test serie|205794663.05
2021/07/14|test fund|test serie|205795663.05
2021/07/15|test fund|test serie|205796663.05
2021/07/16|test fund|test serie|205797663.05
2021/07/17|test fund|test serie|205798663.05
2021/07/18|test fund|test serie|205799663.05
2021/07/19|test fund|test serie|205800663.05
2021/07/20|test fund|test serie|205801663.05
2021/07/21|test fund|test serie|205802663.05
2021/07/22|test fund|test serie|205803663.05
2021/07/23|test fund|test serie|205804663.05
2021/07/24|test fund|test serie|205805663.05
2021/07/25|test fund|test serie|205806663.05
2021/07/26|test fund|test serie|205807663.05
2021/07/27|test fund|test serie|205808663.05
2021/07/28|test fund|test serie|205809663.05
2021/07/29|test fund|test serie|205810663.05
2021/07/30|test fund|test serie|205811663.05
2021/07/31|test fund|test serie|205812663.05
2021/08/01|test fund|test serie|205813663.05
2021/08/02|test fund|test serie|205814663.05
2021/08/03|test fund|test serie|205815663.05
2021/08/04|test fund|test serie|205816663.05
2021/08/05|test fund|test serie|205817663.05
2021/08/06|test fund|test serie|205818663.05
2021/08/07|test fund|test serie|205819663.05
2021/08/08|test fund|test serie|205820663.05
2021/08/09|test fund|test serie|205821663.05
2021/08/10|test fund|test serie|205822663.05
2021/08/11|test fund|test serie|205823663.05
2021/08/12|test fund|test serie|205824663.05
2021/08/13|test fund|test serie|205825663.05
2021/08/14|test fund|test serie|205826663.05
2021/08/15|test fund|test serie|205827663.05
2021/08/16|test fund|test serie|205828663.05
2021/08/17|test fund|test serie|205829663.05
2021/08/18|test fund|test serie|205830663.05
2021/08/19|test fund|test serie|205831663.05
2021/08/20|test fund|test serie|205832663.05
2021/08/21|test fund|test serie|205833663.05
2021/08/22|test fund|test serie|205834663.05
2021/08/23|test fund|test serie|205835663.05
2021/08/24|test fund|test serie|205836663.05
2021/08/25|test fund|test serie|205837663.05
2021/08/26|test fund|test serie|205838663.05
2021/08/27|test fund|test serie|205839663.05
2021/08/28|test fund|test serie|205840663.05
2021/08/29|test fund|test serie|205841663.05
2021/08/30|test fund|test serie|205842663.05
2021/08/31|test fund|test serie|205843663.05
2021/09/01|test fund|test serie|205844663.05
2021/09/02|test fund|test serie|205845663.05
2021/09/03|test fund|test serie|205846663.05
2021/09/04|test fund|test serie|205847663.05
2021/09/05|test fund|test serie|205848663.05
2021/09/06|test fund|test serie|205849663.05
2021/09/07|test fund|test serie|205850663.05
2021/09/08|test fund|test serie|205851663.05
2021/09/09|test fund|test serie|205852663.05
2021/09/10|test fund|test serie|205853663.05
2021/09/11|test fund|test serie|205854663.05
2021/09/12|test fund|test serie|205855663.05
2021/09/13|test fund|test serie|205856663.05
2021/09/14|test fund|test serie|205857663.05
2021/09/15|test fund|test serie|205858663.05
2021/09/16|test fund|test serie|205859663.05
2021/09/17|test fund|test serie|205860663.05
2021/09/18|test fund|test serie|205861663.05
2021/09/19|test fund|test serie|205862663.05
2021/09/20|test fund|test serie|205863663.05
2021/09/21|test fund|test serie|205864663.05
2021/09/22|test fund|test serie|205865663.05
2021/09/23|test fund|test serie|205866663.05
2021/09/24|test fund|test serie|205867663.05
2021/09/25|test fund|test serie|205868663.05
2021/09/26|test fund|test serie|205869663.05
2021/09/27|test fund|test serie|205870663.05
2021/09/28|test fund|test serie|205871663.05
2021/09/29|test fund|test serie|205872663.05
2021/09/30|test fund|test serie|205873663.05
2021/10/01|test fund|test serie|205874663.05
2021/10/02|test fund|test serie|205875663.05
2021/10/03|test fund|test serie|205876663.05
2021/10/04|test fund|test serie|205877663.05
2021/10/05|test fund|test serie|205878663.05
2021/10/06|test fund|test serie|205879663.05
2021/10/07|test fund|test serie|205880663.05
2021/10/08|test fund|test serie|205881663.05
2021/10/09|test fund|test serie|205882663.05
2021/10/10|test fund|test serie|205883663.05
2021/10/11|test fund|test serie|205884663.05
2021/10/12|test fund|test serie|205885663.05
2021/10/13|test fund|test serie|205886663.05
2021/10/14|test fund|test serie|205887663.05
2021/10/15|test fund|test serie|205888663.05
2021/10/16|test fund|test serie|205889663.05
2021/10/17|test fund|test serie|205890663.05
2021/10/18|test fund|test serie|205891663.05
2021/10/19|test fund|test serie|205892663.05
2021/10/20|test fund|test serie|205893663.05
2021/10/21|test fund|test serie|205894663.05
2021/10/22|test fund|test serie|205895663.05
2021/10/23|test fund|test serie|205896663.05
2021/10/24|test fund|test serie|205897663.05
2021/10/25|test fund|test serie|205898663.05
2021/10/26|test fund|test serie|205899663.05
2021/10/27|test fund|test serie|205900663.05
2021/10/28|test fund|test serie|205901663.05
2021/10/29|test fund|test serie|205902663.05
2021/10/30|test fund|test serie|205903663.05
2021/10/31|test fund|test serie|205904663.05
2021/11/01|test fund|test serie|205905663.05
2021/11/02|test fund|test serie|205906663.05
2021/11/03|test fund|test serie|205907663.05
2021/11/04|test fund|test serie|205908663.05
2021/11/05|test fund|test serie|205909663.05
2021/11/06|test fund|test serie|205910663.05
2021/11/07|test fund|test serie|205911663.05
2021/11/08|test fund|test serie|205912663.05
2021/11/09|test fund|test serie|205913663.05
2021/11/10|test fund|test serie|205914663.05
2021/11/11|test fund|test serie|205915663.05
2021/11/12|test fund|test serie|205916663.05
2021/11/13|test fund|test serie|205917663.05
2021/11/14|test fund|test serie|205918663.05
2021/11/15|test fund|test serie|205919663.05
2021/11/16|test fund|test serie|205920663.05
2021/11/17|test fund|test serie|205921663.05
2021/11/18|test fund|test serie|205922663.05
2021/11/19|test fund|test serie|205923663.05
2021/11/20|test fund|test serie|205924663.05
2021/11/21|test fund|test serie|205925663.05
2021/11/22|test fund|test serie|205926663.05
2021/11/23|test fund|test serie|205927663.05
2021/11/24|test fund|test serie|205928663.05
2021/11/25|test fund|test serie|205929663.05
2021/11/26|test fund|test serie|205930663.05
2021/11/27|test fund|test serie|205931663.05
2021/11/28|test fund|test serie|205932663.05
2021/11/29|test fund|test serie|205933663.05
2021/11/30|test fund|test serie|205934663.05
2021/12/01|test fund|test serie|205935663.05
2021/12/02|test fund|test serie|205936663.05
2021/12/03|test fund|test serie|205937663.05
2021/12/04|test fund|test serie|205938663.05
2021/12/05|test fund|test serie|205939663.05
2021/12/06|test fund|test serie|205940663.05
2021/12/07|test fund|test serie|205941663.05
2021/12/08|test fund|test serie|205942663.05
2021/12/09|test fund|test serie|205943663.05
2021/12/10|test fund|test serie|205944663.05
2021/12/11|test fund|test serie|205945663.05
2021/12/12|test fund|test serie|205946663.05
2021/12/13|test fund|test serie|205947663.05
2021/12/14|test fund|test serie|205948663.05
2021/12/15|test fund|test serie|205949663.05
2021/12/16|test fund|test serie|205950663.05
2021/12/17|test fund|test serie|205951663.05
2021/12/18|test fund|test serie|205952663.05
2021/12/19|test fund|test serie|205953663.05
2021/12/20|test fund|test serie|205954663.05
2021/12/21|test fund|test serie|205955663.05
2021/12/22|test fund|test serie|205956663.05
2021/12/23|test fund|test serie|205957663.05
2021/12/24|test fund|test serie|205958663.05
2021/12/25|test fund|test serie|205959663.05
2021/12/26|test fund|test serie|205960663.05
2021/12/27|test fund|test serie|205961663.05
2021/12/28|test fund|test serie|205962663.05
2021/12/29|test fund|test serie|205963663.05
2021/12/30|test fund|test serie|205964663.05
2021/12/31|test fund|test serie|205965663.05
2022/01/01|test fund|test serie|205966663.05
2022/01/02|test fund|test serie|205967663.05
2022/01/03|test fund|test serie|205968663.05
2022/01/04|test fund|test serie|205969663.05
2022/01/05|test fund|test serie|205970663.05
2022/01/06|test fund|test serie|205971663.05
2022/01/07|test fund|test serie|205972663.05
2022/01/08|test fund|test serie|205973663.05
2022/01/09|test fund|test serie|205974663.05
2022/01/10|test fund|test serie|205975663.05
2022/01/11|test fund|test serie|205976663.05
2022/01/12|test fund|test serie|205977663.05
2022/01/13|test fund|test serie|205978663.05
2022/01/14|test fund|test serie|205979663.05
2022/01/15|test fund|test serie|205980663.05
2022/01/16|test fund|test serie|205981663.05
2022/01/17|test fund|test serie|205982663.05
2022/01/18|test fund|test serie|205983663.05
2022/01/19|test fund|test serie|205984663.05
2022/01/20|test fund|test serie|205985663.05
2022/01/21|test fund|test serie|205986663.05
2022/01/22|test fund|test serie|205987663.05
2022/01/23|test fund|test serie|205988663.05
2022/01/24|test fund|test serie|205989663.05
2022/01/25|test fund|test serie|205990663.05
2022/01/26|test fund|test serie|205991663.05
2022/01/27|test fund|test serie|205992663.05
2022/01/28|test fund|test serie|205993663.05
2022/01/29|test fund|test serie|205994663.05
2022/01/30|test fund|test serie|205995663.05
2022/01/31|test fund|test serie|205996663.05
2022/02/01|test fund|test serie|205997663.05
2022/02/02|test fund|test serie|205998663.05
2022/02/03|test fund|test serie|205999663.05
2022/02/04|test fund|test serie|206000663.05
2022/02/05|test fund|test serie|206001663.05
2022/02/06|test fund|test serie|206002663.05
2022/02/07|test fund|test serie|206003663.05
2022/02/08|test fund|test serie|206004663.05
2022/02/09|test fund|test serie|206005663.05
2022/02/10|test fund|test serie|206006663.05
2022/02/11|test fund|test serie|206007663.05
2022/02/12|test fund|test serie|206008663.05
2022/02/13|test fund|test serie|206009663.05
2022/02/14|test fund|test serie|206010663.05
2022/02/15|test fund|test serie|206011663.05
2022/02/16|test fund|test serie|206012663.05
2022/02/17|test fund|test serie|206013663.05
2022/02/18|test fund|test serie|206014663.05
2022/02/19|test fund|test serie|206015663.05
2022/02/20|test fund|test serie|206016663.05
2022/02/21|test fund|test serie|206017663.05
2022/02/22|test fund|test serie|206018663.05
2022/02/23|test fund|test serie|206019663.05
2022/02/24|test fund|test serie|206020663.05
2022/02/25|test fund|test serie|206021663.05
2022/02/26|test fund|test serie|206022663.05
2022/02/27|test fund|test serie|206023663.05
2022/02/28|test fund|test serie|206024663.05
2022/03/01|test fund|test serie|206025663.05
2022/03/02|test fund|test serie|206026663.05
2022/03/03|test fund|test serie|206027663.05
2022/03/04|test fund|test serie|206028663.05
2022/03/05|test fund|test serie|206029663.05
2022/03/06|test fund|test serie|206030663.05
2022/03/07|test fund|test serie|206031663.05
2022/03/08|test fund|test serie|206032663.05
2022/03/09|test fund|test serie|206033663.05
2022/03/10|test fund|test serie|206034663.05
2022/03/11|test fund|test serie|206035663.05
2022/03/12|test fund|test serie|206036663.05
2022/03/13|test fund|test serie|206037663.05
2022/03/14|test fund|test serie|206038663.05
2022/03/15|test fund|test serie|206039663.05
2022/03/16|test fund|test serie|206040663.05
2022/03/17|test fund|test serie|206041663.05
2022/03/18|test fund|test serie|206042663.05
2022/03/19|test fund|test serie|206043663.05
2022/03/20|test fund|test serie|206044663.05
2022/03/21|test fund|test serie|206045663.05
2022/03/22|test fund|test serie|206046663.05
2022/03/23|test fund|test serie|206047663.05
2022/03/24|test fund|test serie|206048663.05
2022/03/25|test fund|test serie|206049663.05
2022/03/26|test fund|test serie|206050663.05
2022/03/27|test fund|test serie|206051663.05
2022/03/28|test fund|test serie|206052663.05
2022/03/29|test fund|test serie|206053663.05
2022/03/30|test fund|test serie|206054663.05
2022/03/31|test fund|test serie|206055663.05
2022/04/01|test fund|test serie|206056663.05
2022/04/02|test fund|test serie|206057663.05
2022/04/03|test fund|test serie|206058663.05
2022/04/04|test fund|test serie|206059663.05
2022/04/05|test fund|test serie|206060663.05
2022/04/06|test fund|test serie|206061663.05
2022/04/07|test fund|test serie|206062663.05
2022/04/08|test fund|test serie|206063663.05
2022/04/09|test fund|test serie|206064663.05
2022/04/10|test fund|test serie|206065663.05
2022/04/11|test fund|test serie|206066663.05
2022/04/12|test fund|test serie|206067663.05
2022/04/13|test fund|test serie|206068663.05
2022/04/14|test fund|test serie|206069663.05
2022/04/15|test fund|test serie|206070663.05
2022/04/16|test fund|test serie|206071663.05
2022/04/17|test fund|test serie|206072663.05
2022/04/18|test fund|test serie|206073663.05
2022/04/19|test fund|test serie|206074663.05
2022/04/20|test fund|test serie|206075663.05
2022/04/21|test fund|test serie|206076663.05
2022/04/22|test fund|test serie|206077663.05
2022/04/23|test fund|test serie|206078663.05
2022/04/24|test fund|test serie|206079663.05
2022/04/25|test fund|test serie|206080663.05
2022/04/26|test fund|test serie|206081663.05
